"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"SW1";"SW_PUSH_6mm_H4.3mm";1;"SW_Push";;;
2;"J1";"NES controller port 180";1;"NES-CTRL";;;
3;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"1.5K";;;
4;"J2";"JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical";1;"Conn_01x05";;;
5;"J3";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";1;"Conn_01x04";;;
6;"A1";"Arduino_UNO_R3";1;"Arduino_UNO_R3";;;
